5.10,3.50,1.40,0.20
4.90,3.00,1.40,0.20
5.40,3.90,1.70,0.40
4.60,3.40,1.40,0.30
4.40,2.90,1.40,0.20
5.80,4.00,1.20,0.20
5.70,4.40,1.50,0.40
4.80,3.40,1.90,0.20
4.50,2.30,1.30,0.30
7.00,3.20,4.70,1.40
6.40,3.20,4.50,1.50
5.50,2.30,4.00,1.30
5.70,2.80,4.50,1.30
4.90,2.40,3.30,1.00
5.20,2.70,3.90,1.40
6.00,2.20,4.00,1.00
5.60,2.90,3.60,1.30
5.80,2.70,4.10,1.00
6.20,2.20,4.50,1.50
5.90,3.20,4.80,1.80
6.30,2.50,4.90,1.50
6.70,3.00,5.00,1.70
6.30,3.30,6.00,2.50
7.10,3.00,5.90,2.10
6.30,2.90,5.60,1.80
6.50,3.00,5.80,2.20
7.60,3.00,6.60,2.10
4.90,2.50,4.50,1.70
7.30,2.90,6.30,1.80
6.70,2.50,5.80,1.80
7.20,3.60,6.10,2.50
5.70,2.50,5.00,2.00
5.80,2.80,5.10,2.40
6.40,3.20,5.30,2.30
7.70,3.80,6.70,2.20
7.70,2.60,6.90,2.30
7.20,3.00,5.80,1.60
6.10,2.60,5.60,1.40
7.70,3.00,6.10,2.30
6.90,3.10,5.40,2.10
